url,New column,_url_input
https://www.target.com/p/arm-38-hammer-pure-baking-soda-1lb/-/A-15133726#lnk=sametab,ARM & HAMMER Pure Baking Soda - 1lb,https://www.target.com/p/arm-38-hammer-pure-baking-soda-1lb/-/A-15133726#lnk=sametab
https://www.target.com/p/arm-38-hammer-pure-baking-soda-1lb/-/A-15133726#lnk=sametab,$1.59 ,https://www.target.com/p/arm-38-hammer-pure-baking-soda-1lb/-/A-15133726#lnk=sametab
https://www.target.com/p/arm-38-hammer-pure-baking-soda-1lb/-/A-15133726#lnk=sametab,"ShippingArrives by Thu, Oct 17",https://www.target.com/p/arm-38-hammer-pure-baking-soda-1lb/-/A-15133726#lnk=sametab
https://www.target.com/p/arm-38-hammer-pure-baking-soda-1lb/-/A-15133726#lnk=sametab,Specifications,https://www.target.com/p/arm-38-hammer-pure-baking-soda-1lb/-/A-15133726#lnk=sametab
